# LastUpdated: 2025-07-29T12:03:33.959039Z
Station,ForecastTime,Period,CHSI,CCSI,StressCategory
KBBW,Day 1 00Z,Day,97.5,,Moderate Heat Stress
KBBW,Day 1 12Z,Night,,71.7,No Cold Stress
KBBW,Day 2 00Z,Day,84.1,,Mild Heat Stress
KBBW,Day 2 12Z,Night,,63.7,No Cold Stress
KBBW,Day 3 00Z,Day,85.6,,Mild Heat Stress
KBBW,Day 3 12Z,Night,,63.7,No Cold Stress
KBBW,Day 4 00Z,Day,82.7,,Mild Heat Stress
KBBW,Day 4 12Z,Night,,59.9,Mild Cold Stress
KBBW,Day 5 00Z,Day,86.2,,Mild Heat Stress
KBBW,Day 5 12Z,Night,,65.9,No Cold Stress
KBBW,Day 6 00Z,Day,91.3,,Moderate Heat Stress
KBBW,Day 6 12Z,Night,,70.8,No Cold Stress
KBBW,Day 7 00Z,Day,95.7,,Moderate Heat Stress
KBBW,Day 7 12Z,Night,,74.1,No Cold Stress
KBBW,Day 8 00Z,Day,96.9,,Moderate Heat Stress
KBBW,Day 8 12Z,Night,,74.3,No Cold Stress
KBBW,Day 9 00Z,Day,101.1,,Moderate Heat Stress
KBBW,Day 9 12Z,Night,,76.9,No Cold Stress
KBBW,Day 10 00Z,Day,101.6,,Moderate Heat Stress
KBBW,Day 10 12Z,Night,,76.4,No Cold Stress
KBBW,Day 11 00Z,Day,100.4,,Moderate Heat Stress
KGRI,Day 1 00Z,Day,112.8,,High Heat Stress
KGRI,Day 1 12Z,Night,,72.5,No Cold Stress
KGRI,Day 2 00Z,Day,86.9,,Mild Heat Stress
KGRI,Day 2 12Z,Night,,63.5,No Cold Stress
KGRI,Day 3 00Z,Day,84.9,,Mild Heat Stress
KGRI,Day 3 12Z,Night,,66.5,No Cold Stress
KGRI,Day 4 00Z,Day,86.4,,Mild Heat Stress
KGRI,Day 4 12Z,Night,,62.9,No Cold Stress
KGRI,Day 5 00Z,Day,88.5,,Mild Heat Stress
KGRI,Day 5 12Z,Night,,65.5,No Cold Stress
KGRI,Day 6 00Z,Day,91.9,,Moderate Heat Stress
KGRI,Day 6 12Z,Night,,70.6,No Cold Stress
KGRI,Day 7 00Z,Day,95.3,,Moderate Heat Stress
KGRI,Day 7 12Z,Night,,74.4,No Cold Stress
KGRI,Day 8 00Z,Day,97.9,,Moderate Heat Stress
KGRI,Day 8 12Z,Night,,74.7,No Cold Stress
KGRI,Day 9 00Z,Day,100.9,,Moderate Heat Stress
KGRI,Day 9 12Z,Night,,78.0,No Cold Stress
KGRI,Day 10 00Z,Day,102.5,,Moderate Heat Stress
KGRI,Day 10 12Z,Night,,77.4,No Cold Stress
KGRI,Day 11 00Z,Day,102.5,,Moderate Heat Stress
KGCK,Day 1 00Z,Day,114.8,,High Heat Stress
KGCK,Day 1 12Z,Night,,75.4,No Cold Stress
KGCK,Day 2 00Z,Day,98.0,,Moderate Heat Stress
KGCK,Day 2 12Z,Night,,64.6,No Cold Stress
KGCK,Day 3 00Z,Day,85.3,,Mild Heat Stress
KGCK,Day 3 12Z,Night,,62.9,No Cold Stress
KGCK,Day 4 00Z,Day,89.8,,Mild Heat Stress
KGCK,Day 4 12Z,Night,,65.2,No Cold Stress
KGCK,Day 5 00Z,Day,95.2,,Moderate Heat Stress
KGCK,Day 5 12Z,Night,,69.4,No Cold Stress
KGCK,Day 6 00Z,Day,103.6,,Moderate Heat Stress
KGCK,Day 6 12Z,Night,,73.1,No Cold Stress
KGCK,Day 7 00Z,Day,103.3,,Moderate Heat Stress
KGCK,Day 7 12Z,Night,,73.5,No Cold Stress
KGCK,Day 8 00Z,Day,113.8,,High Heat Stress
KGCK,Day 8 12Z,Night,,72.2,No Cold Stress
KGCK,Day 9 00Z,Day,115.4,,High Heat Stress
KGCK,Day 9 12Z,Night,,75.6,No Cold Stress
KGCK,Day 10 00Z,Day,118.0,,High Heat Stress
KGCK,Day 10 12Z,Night,,74.4,No Cold Stress
KGCK,Day 11 00Z,Day,114.2,,High Heat Stress
KDDC,Day 1 00Z,Day,121.4,,High Heat Stress
KDDC,Day 1 12Z,Night,,79.4,No Cold Stress
KDDC,Day 2 00Z,Day,105.2,,High Heat Stress
KDDC,Day 2 12Z,Night,,65.7,No Cold Stress
KDDC,Day 3 00Z,Day,86.2,,Mild Heat Stress
KDDC,Day 3 12Z,Night,,66.0,No Cold Stress
KDDC,Day 4 00Z,Day,89.1,,Mild Heat Stress
KDDC,Day 4 12Z,Night,,67.2,No Cold Stress
KDDC,Day 5 00Z,Day,94.8,,Moderate Heat Stress
KDDC,Day 5 12Z,Night,,69.1,No Cold Stress
KDDC,Day 6 00Z,Day,102.9,,Moderate Heat Stress
KDDC,Day 6 12Z,Night,,73.2,No Cold Stress
KDDC,Day 7 00Z,Day,102.0,,Moderate Heat Stress
KDDC,Day 7 12Z,Night,,74.1,No Cold Stress
KDDC,Day 8 00Z,Day,113.6,,High Heat Stress
KDDC,Day 8 12Z,Night,,76.0,No Cold Stress
KDDC,Day 9 00Z,Day,115.0,,High Heat Stress
KDDC,Day 9 12Z,Night,,78.1,No Cold Stress
KDDC,Day 10 00Z,Day,118.0,,High Heat Stress
KDDC,Day 10 12Z,Night,,76.9,No Cold Stress
KDDC,Day 11 00Z,Day,114.2,,High Heat Stress
KAMA,Day 1 00Z,Day,114.0,,High Heat Stress
KAMA,Day 1 12Z,Night,,73.9,No Cold Stress
KAMA,Day 2 00Z,Day,109.2,,High Heat Stress
KAMA,Day 2 12Z,Night,,69.2,No Cold Stress
KAMA,Day 3 00Z,Day,93.9,,Moderate Heat Stress
KAMA,Day 3 12Z,Night,,68.6,No Cold Stress
KAMA,Day 4 00Z,Day,93.7,,Moderate Heat Stress
KAMA,Day 4 12Z,Night,,68.9,No Cold Stress
KAMA,Day 5 00Z,Day,98.1,,Moderate Heat Stress
KAMA,Day 5 12Z,Night,,73.5,No Cold Stress
KAMA,Day 6 00Z,Day,113.2,,High Heat Stress
KAMA,Day 6 12Z,Night,,75.4,No Cold Stress
KAMA,Day 7 00Z,Day,112.0,,High Heat Stress
KAMA,Day 7 12Z,Night,,74.1,No Cold Stress
KAMA,Day 8 00Z,Day,112.8,,High Heat Stress
KAMA,Day 8 12Z,Night,,73.8,No Cold Stress
KAMA,Day 9 00Z,Day,113.6,,High Heat Stress
KAMA,Day 9 12Z,Night,,76.6,No Cold Stress
KAMA,Day 10 00Z,Day,113.4,,High Heat Stress
KAMA,Day 10 12Z,Night,,74.7,No Cold Stress
KAMA,Day 11 00Z,Day,110.2,,High Heat Stress
KLBL,Day 1 00Z,Day,117.6,,High Heat Stress
KLBL,Day 1 12Z,Night,,76.5,No Cold Stress
KLBL,Day 2 00Z,Day,107.0,,High Heat Stress
KLBL,Day 2 12Z,Night,,66.8,No Cold Stress
KLBL,Day 3 00Z,Day,87.5,,Mild Heat Stress
KLBL,Day 3 12Z,Night,,65.6,No Cold Stress
KLBL,Day 4 00Z,Day,89.7,,Mild Heat Stress
KLBL,Day 4 12Z,Night,,66.3,No Cold Stress
KLBL,Day 5 00Z,Day,97.8,,Moderate Heat Stress
KLBL,Day 5 12Z,Night,,71.0,No Cold Stress
KLBL,Day 6 00Z,Day,114.8,,High Heat Stress
KLBL,Day 6 12Z,Night,,73.7,No Cold Stress
KLBL,Day 7 00Z,Day,114.2,,High Heat Stress
KLBL,Day 7 12Z,Night,,74.2,No Cold Stress
KLBL,Day 8 00Z,Day,115.4,,High Heat Stress
KLBL,Day 8 12Z,Night,,73.5,No Cold Stress
KLBL,Day 9 00Z,Day,116.0,,High Heat Stress
KLBL,Day 9 12Z,Night,,75.2,No Cold Stress
KLBL,Day 10 00Z,Day,117.8,,High Heat Stress
KLBL,Day 10 12Z,Night,,74.8,No Cold Stress
KLBL,Day 11 00Z,Day,113.8,,High Heat Stress
KLUB,Day 1 00Z,Day,114.6,,High Heat Stress
KLUB,Day 1 12Z,Night,,81.1,No Cold Stress
KLUB,Day 2 00Z,Day,117.8,,High Heat Stress
KLUB,Day 2 12Z,Night,,81.2,No Cold Stress
KLUB,Day 3 00Z,Day,107.0,,High Heat Stress
KLUB,Day 3 12Z,Night,,77.8,No Cold Stress
KLUB,Day 4 00Z,Day,105.6,,High Heat Stress
KLUB,Day 4 12Z,Night,,80.4,No Cold Stress
KLUB,Day 5 00Z,Day,110.0,,High Heat Stress
KLUB,Day 5 12Z,Night,,82.5,No Cold Stress
KLUB,Day 6 00Z,Day,114.4,,High Heat Stress
KLUB,Day 6 12Z,Night,,82.7,No Cold Stress
KLUB,Day 7 00Z,Day,117.2,,High Heat Stress
KLUB,Day 7 12Z,Night,,82.2,No Cold Stress
KLUB,Day 8 00Z,Day,115.6,,High Heat Stress
KLUB,Day 8 12Z,Night,,82.7,No Cold Stress
KLUB,Day 9 00Z,Day,114.8,,High Heat Stress
KLUB,Day 9 12Z,Night,,82.8,No Cold Stress
KLUB,Day 10 00Z,Day,116.0,,High Heat Stress
KLUB,Day 10 12Z,Night,,81.1,No Cold Stress
KLUB,Day 11 00Z,Day,114.8,,High Heat Stress
KGXY,Day 1 00Z,Day,98.2,,Moderate Heat Stress
KGXY,Day 1 12Z,Night,,68.3,No Cold Stress
KGXY,Day 2 00Z,Day,89.8,,Mild Heat Stress
KGXY,Day 2 12Z,Night,,63.2,No Cold Stress
KGXY,Day 3 00Z,Day,88.9,,Mild Heat Stress
KGXY,Day 3 12Z,Night,,65.0,No Cold Stress
KGXY,Day 4 00Z,Day,96.4,,Moderate Heat Stress
KGXY,Day 4 12Z,Night,,67.7,No Cold Stress
KGXY,Day 5 00Z,Day,104.2,,Moderate Heat Stress
KGXY,Day 5 12Z,Night,,68.3,No Cold Stress
KGXY,Day 6 00Z,Day,109.8,,High Heat Stress
KGXY,Day 6 12Z,Night,,68.8,No Cold Stress
KGXY,Day 7 00Z,Day,107.0,,High Heat Stress
KGXY,Day 7 12Z,Night,,67.5,No Cold Stress
KGXY,Day 8 00Z,Day,108.6,,High Heat Stress
KGXY,Day 8 12Z,Night,,68.7,No Cold Stress
KGXY,Day 9 00Z,Day,111.0,,High Heat Stress
KGXY,Day 9 12Z,Night,,71.2,No Cold Stress
KGXY,Day 10 00Z,Day,110.4,,High Heat Stress
KGXY,Day 10 12Z,Night,,70.9,No Cold Stress
KGXY,Day 11 00Z,Day,110.4,,High Heat Stress
KGUY,Day 1 00Z,Day,116.8,,High Heat Stress
KGUY,Day 1 12Z,Night,,76.9,No Cold Stress
KGUY,Day 2 00Z,Day,106.6,,High Heat Stress
KGUY,Day 2 12Z,Night,,68.3,No Cold Stress
KGUY,Day 3 00Z,Day,90.8,,Moderate Heat Stress
KGUY,Day 3 12Z,Night,,67.3,No Cold Stress
KGUY,Day 4 00Z,Day,92.6,,Moderate Heat Stress
KGUY,Day 4 12Z,Night,,66.6,No Cold Stress
KGUY,Day 5 00Z,Day,101.5,,Moderate Heat Stress
KGUY,Day 5 12Z,Night,,72.8,No Cold Stress
KGUY,Day 6 00Z,Day,117.2,,High Heat Stress
KGUY,Day 6 12Z,Night,,74.7,No Cold Stress
KGUY,Day 7 00Z,Day,117.0,,High Heat Stress
KGUY,Day 7 12Z,Night,,73.0,No Cold Stress
KGUY,Day 8 00Z,Day,118.0,,High Heat Stress
KGUY,Day 8 12Z,Night,,75.5,No Cold Stress
KGUY,Day 9 00Z,Day,116.4,,High Heat Stress
KGUY,Day 9 12Z,Night,,75.3,No Cold Stress
KGUY,Day 10 00Z,Day,119.2,,High Heat Stress
KGUY,Day 10 12Z,Night,,76.1,No Cold Stress
KGUY,Day 11 00Z,Day,114.2,,High Heat Stress
KGAG,Day 1 00Z,Day,121.6,,High Heat Stress
KGAG,Day 1 12Z,Night,,83.7,No Cold Stress
KGAG,Day 2 00Z,Day,118.8,,High Heat Stress
KGAG,Day 2 12Z,Night,,71.1,No Cold Stress
KGAG,Day 3 00Z,Day,92.7,,Moderate Heat Stress
KGAG,Day 3 12Z,Night,,67.5,No Cold Stress
KGAG,Day 4 00Z,Day,91.1,,Moderate Heat Stress
KGAG,Day 4 12Z,Night,,73.5,No Cold Stress
KGAG,Day 5 00Z,Day,99.7,,Moderate Heat Stress
KGAG,Day 5 12Z,Night,,71.9,No Cold Stress
KGAG,Day 6 00Z,Day,114.2,,High Heat Stress
KGAG,Day 6 12Z,Night,,76.8,No Cold Stress
KGAG,Day 7 00Z,Day,112.8,,High Heat Stress
KGAG,Day 7 12Z,Night,,77.5,No Cold Stress
KGAG,Day 8 00Z,Day,116.0,,High Heat Stress
KGAG,Day 8 12Z,Night,,78.4,No Cold Stress
KGAG,Day 9 00Z,Day,118.4,,High Heat Stress
KGAG,Day 9 12Z,Night,,79.6,No Cold Stress
KGAG,Day 10 00Z,Day,119.8,,High Heat Stress
KGAG,Day 10 12Z,Night,,80.7,No Cold Stress
KGAG,Day 11 00Z,Day,115.8,,High Heat Stress
KLAW,Day 1 00Z,Day,129.6,,Extreme Heat Stress
KLAW,Day 1 12Z,Night,,94.2,No Cold Stress
KLAW,Day 2 00Z,Day,130.8,,Extreme Heat Stress
KLAW,Day 2 12Z,Night,,88.7,No Cold Stress
KLAW,Day 3 00Z,Day,119.2,,High Heat Stress
KLAW,Day 3 12Z,Night,,78.2,No Cold Stress
KLAW,Day 4 00Z,Day,98.5,,Moderate Heat Stress
KLAW,Day 4 12Z,Night,,81.8,No Cold Stress
KLAW,Day 5 00Z,Day,104.2,,Moderate Heat Stress
KLAW,Day 5 12Z,Night,,83.1,No Cold Stress
KLAW,Day 6 00Z,Day,117.6,,High Heat Stress
KLAW,Day 6 12Z,Night,,85.2,No Cold Stress
KLAW,Day 7 00Z,Day,116.8,,High Heat Stress
KLAW,Day 7 12Z,Night,,87.0,No Cold Stress
KLAW,Day 8 00Z,Day,122.4,,High Heat Stress
KLAW,Day 8 12Z,Night,,87.7,No Cold Stress
KLAW,Day 9 00Z,Day,121.4,,High Heat Stress
KLAW,Day 9 12Z,Night,,89.9,No Cold Stress
KLAW,Day 10 00Z,Day,126.2,,Extreme Heat Stress
KLAW,Day 10 12Z,Night,,89.9,No Cold Stress
KLAW,Day 11 00Z,Day,122.4,,High Heat Stress
KEND,Day 1 00Z,Day,125.4,,Extreme Heat Stress
KEND,Day 1 12Z,Night,,90.5,No Cold Stress
KEND,Day 2 00Z,Day,126.0,,Extreme Heat Stress
KEND,Day 2 12Z,Night,,81.2,No Cold Stress
KEND,Day 3 00Z,Day,97.5,,Moderate Heat Stress
KEND,Day 3 12Z,Night,,72.7,No Cold Stress
KEND,Day 4 00Z,Day,91.5,,Moderate Heat Stress
KEND,Day 4 12Z,Night,,77.0,No Cold Stress
KEND,Day 5 00Z,Day,99.0,,Moderate Heat Stress
KEND,Day 5 12Z,Night,,77.9,No Cold Stress
KEND,Day 6 00Z,Day,102.9,,Moderate Heat Stress
KEND,Day 6 12Z,Night,,78.6,No Cold Stress
KEND,Day 7 00Z,Day,114.0,,High Heat Stress
KEND,Day 7 12Z,Night,,81.7,No Cold Stress
KEND,Day 8 00Z,Day,117.8,,High Heat Stress
KEND,Day 8 12Z,Night,,81.6,No Cold Stress
KEND,Day 9 00Z,Day,117.6,,High Heat Stress
KEND,Day 9 12Z,Night,,84.6,No Cold Stress
KEND,Day 10 00Z,Day,121.6,,High Heat Stress
KEND,Day 10 12Z,Night,,85.0,No Cold Stress
KEND,Day 11 00Z,Day,118.6,,High Heat Stress
KADM,Day 1 00Z,Day,130.8,,Extreme Heat Stress
KADM,Day 1 12Z,Night,,96.5,No Cold Stress
KADM,Day 2 00Z,Day,130.8,,Extreme Heat Stress
KADM,Day 2 12Z,Night,,94.9,No Cold Stress
KADM,Day 3 00Z,Day,123.8,,High Heat Stress
KADM,Day 3 12Z,Night,,86.1,No Cold Stress
KADM,Day 4 00Z,Day,101.6,,Moderate Heat Stress
KADM,Day 4 12Z,Night,,85.1,No Cold Stress
KADM,Day 5 00Z,Day,103.2,,Moderate Heat Stress
KADM,Day 5 12Z,Night,,87.3,No Cold Stress
KADM,Day 6 00Z,Day,115.8,,High Heat Stress
KADM,Day 6 12Z,Night,,88.3,No Cold Stress
KADM,Day 7 00Z,Day,116.0,,High Heat Stress
KADM,Day 7 12Z,Night,,89.8,No Cold Stress
KADM,Day 8 00Z,Day,120.2,,High Heat Stress
KADM,Day 8 12Z,Night,,92.0,No Cold Stress
KADM,Day 9 00Z,Day,119.8,,High Heat Stress
KADM,Day 9 12Z,Night,,94.1,No Cold Stress
KADM,Day 10 00Z,Day,125.0,,High Heat Stress
KADM,Day 10 12Z,Night,,93.8,No Cold Stress
KADM,Day 11 00Z,Day,124.2,,High Heat Stress
KTUL,Day 1 00Z,Day,127.0,,Extreme Heat Stress
KTUL,Day 1 12Z,Night,,98.9,No Cold Stress
KTUL,Day 2 00Z,Day,129.6,,Extreme Heat Stress
