Station,ForecastTime,Period,CHSI,CCSI,StressCategory
KBBW,Day 1 00Z,Night,,76.2,Mild Cold Stress
KBBW,Day 1 12Z,Day,71.3,,No Heat Stress
KBBW,Day 2 00Z,Night,,96.7,No Cold Stress
KBBW,Day 2 12Z,Day,82.3,,Mild Heat Stress
KBBW,Day 3 00Z,Night,,88.4,No Cold Stress
KBBW,Day 3 12Z,Day,81.3,,Mild Heat Stress
KBBW,Day 4 00Z,Night,,95.4,No Cold Stress
KBBW,Day 4 12Z,Day,86.9,,Moderate Heat Stress
KBBW,Day 5 00Z,Night,,102.4,No Cold Stress
KBBW,Day 5 12Z,Day,100.5,,High Heat Stress
KBBW,Day 6 00Z,Night,,99.8,No Cold Stress
KBBW,Day 6 12Z,Day,89.7,,Moderate Heat Stress
KBBW,Day 7 00Z,Night,,95.5,No Cold Stress
KBBW,Day 7 12Z,Day,88.6,,Moderate Heat Stress
KBBW,Day 8 00Z,Night,,76.8,Mild Cold Stress
KBBW,Day 8 12Z,Day,113.5,,Extreme Heat Stress
KBBW,Day 9 00Z,Night,,78.1,Mild Cold Stress
KBBW,Day 9 12Z,Day,117.4,,Extreme Heat Stress
KBBW,Day 10 00Z,Night,,79.0,Mild Cold Stress
KBBW,Day 10 12Z,Day,120.3,,Extreme Heat Stress
KLBF,Day 1 00Z,Night,,78.3,Mild Cold Stress
KLBF,Day 1 12Z,Day,74.5,,No Heat Stress
KLBF,Day 2 00Z,Night,,101.9,No Cold Stress
KLBF,Day 2 12Z,Day,85.6,,Moderate Heat Stress
KLBF,Day 3 00Z,Night,,94.0,No Cold Stress
KLBF,Day 3 12Z,Day,83.9,,Mild Heat Stress
KLBF,Day 4 00Z,Night,,99.6,No Cold Stress
KLBF,Day 4 12Z,Day,89.3,,Moderate Heat Stress
KLBF,Day 5 00Z,Night,,104.7,No Cold Stress
KLBF,Day 5 12Z,Day,97.5,,High Heat Stress
KLBF,Day 6 00Z,Night,,104.2,No Cold Stress
KLBF,Day 6 12Z,Day,91.7,,Moderate Heat Stress
KLBF,Day 7 00Z,Night,,98.9,No Cold Stress
KLBF,Day 7 12Z,Day,89.0,,Moderate Heat Stress
KLBF,Day 8 00Z,Night,,76.4,Mild Cold Stress
KLBF,Day 8 12Z,Day,114.3,,Extreme Heat Stress
KLBF,Day 9 00Z,Night,,79.5,Mild Cold Stress
KLBF,Day 9 12Z,Day,117.0,,Extreme Heat Stress
KLBF,Day 10 00Z,Night,,78.8,Mild Cold Stress
KLBF,Day 10 12Z,Day,120.7,,Extreme Heat Stress
KGRI,Day 1 00Z,Night,,80.2,No Cold Stress
KGRI,Day 1 12Z,Day,75.7,,Mild Heat Stress
KGRI,Day 2 00Z,Night,,95.4,No Cold Stress
KGRI,Day 2 12Z,Day,86.7,,Moderate Heat Stress
KGRI,Day 3 00Z,Night,,92.2,No Cold Stress
KGRI,Day 3 12Z,Day,81.7,,Mild Heat Stress
KGRI,Day 4 00Z,Night,,96.4,No Cold Stress
KGRI,Day 4 12Z,Day,92.0,,Moderate Heat Stress
KGRI,Day 5 00Z,Night,,102.5,No Cold Stress
KGRI,Day 5 12Z,Day,102.5,,High Heat Stress
KGRI,Day 6 00Z,Night,,105.3,No Cold Stress
KGRI,Day 6 12Z,Day,97.3,,High Heat Stress
KGRI,Day 7 00Z,Night,,99.5,No Cold Stress
KGRI,Day 7 12Z,Day,93.3,,Moderate Heat Stress
KGRI,Day 8 00Z,Night,,78.5,Mild Cold Stress
KGRI,Day 8 12Z,Day,113.8,,Extreme Heat Stress
KGRI,Day 9 00Z,Night,,79.7,Mild Cold Stress
KGRI,Day 9 12Z,Day,119.8,,Extreme Heat Stress
KGRI,Day 10 00Z,Night,,79.5,Mild Cold Stress
KGRI,Day 10 12Z,Day,119.1,,Extreme Heat Stress
